word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,concrete_mean,concrete_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd,avaliability_mean,avaliability_sd,rt_mean,rt_sd,accuracy_mean,accuracy_sd
民工,civilian worker,3.83,2.22,5.47,1.65,5.57,1.08,5.15,1.28,7.26,1.05,6.12,1.37,511.44,39.1,0.9,0.047
民警,policeman,4.14,1.72,4.07,1.34,6,1.85,5.96,1.49,7.4,1.77,6.41,1.03,613.25,36.02,0.942,0.066
名声,fame,5.15,2.24,5.27,0.91,7.05,1.79,6.63,0.55,7.85,0.96,6.29,0.72,539.63,30.39,0.894,0.057
名著,classic literature,2.8,1.39,5.3,0.59,6.7,0.26,5.67,1.91,7.52,1.34,6.41,0.74,512.94,62.88,0.903,0.011
冥币,paper money for the dead,1.6,1.02,7.83,0.59,2.97,0.29,3.93,0.95,5.49,1.86,5.52,1.92,469.31,63.24,0.879,0.035
命运,destimy,3.79,0.61,6.89,1.27,5.96,1.49,4.82,1.96,7.19,0.98,6.29,0.87,524.83,43.84,0.919,0.064
母爱,motherly love,8.23,1.02,7.56,1.86,7.09,0.8,7.36,0.83,7.29,1.91,7.03,0.69,510.53,41.74,0.945,0.035
母亲,mother,8.41,2.2,6.13,1.57,5.09,1.98,8.32,1.92,5.42,1.11,5.97,1.01,519.87,61.89,0.894,0.021
母校,one's old school,7.03,2.12,5.4,0.82,6.8,0.46,5.87,1.8,6.72,0.94,6,0.88,572.71,24.39,0.936,0.019
牡丹,peony,2.32,2.09,7.76,1.93,5.54,1.54,6.22,0.6,6.14,1.11,6.05,0.87,597.84,50.57,0.947,0.065
木板,wood plank,2.93,2.01,6.32,0.77,6.5,1.42,5.54,2.07,7.1,0.83,6.16,0.64,519.09,26.21,0.937,0.058
墓碑,tomb stone,2.36,2.26,7.82,1.11,4.45,0.51,2.82,1.42,4.29,1.27,4.84,0.97,553.01,57.78,0.914,0.054
墓穴,tomb cave,6.78,0.94,7.15,2.09,5.71,1.79,5.49,0.59,7.14,1.45,6.46,1.43,525.04,43.7,0.926,0.03
难民,refugee,4.95,0.99,3.09,1.65,5.77,0.84,5.68,1.42,6.86,1.55,6.14,0.42,626.68,57.61,0.96,0.056
恼火,anger,1.9,1.43,7.88,1.78,5.68,1.75,4.83,0.69,5.64,0.57,5.56,1.98,513.87,59.42,0.95,0.04
嫩绿,tender green,6.19,1.5,5.53,0.97,6.36,1.23,6.21,1.29,6.59,0.53,6.17,0.57,612.39,27.83,0.949,0.035
泥泞,muddy,5.41,0.45,7.13,1.68,4.95,1.39,4.17,1.27,5.63,0.53,5.2,0.97,557.54,24.24,0.889,0.008
年糕,rice cake for the new year,4.6,0.64,4.23,1.76,6.17,1.32,5.83,1.26,5.93,0.37,5.55,1.11,560.06,46.75,0.916,0.058
年货,new year's goods,2.22,1.81,6.5,0.9,5.17,1.3,6.57,1.41,5.46,1.03,5.7,1.11,527.4,23.08,0.928,0.062
年轻,young,7,2.08,6.57,0.48,6.57,2,6.11,0.88,7.39,1.14,6.64,0.66,501.19,26.48,0.933,0.033
宁静,peaceful,5.67,2.15,4.97,1,6.6,1.34,6.33,0.69,7.64,0.81,7.25,2,517.86,28.91,0.937,0.009
脓包,pus,1.63,0.78,6.33,1.41,2.4,0.85,5.3,1.6,4.07,0.55,5.07,0.89,501.58,57.42,0.948,0.015
奴才,slave,2.57,2.24,6.77,1.59,6.23,0.29,4.86,1.2,6.45,1.46,6.05,1.16,579.21,22.17,0.939,0.051
奴隶,slave,5.51,1.11,5.03,1.07,4.37,1.69,4.31,1.74,5.31,1,5.06,0.69,545.04,24.42,0.933,0.05
怒斥,shout angrily at,2.06,1.6,5.94,1.48,3.75,0.45,4.23,1.74,5.49,2.02,5.86,0.5,468.38,32.19,0.893,0.062
怒视,stare,6.83,1.23,5.2,1.27,6.97,0.8,4.06,0.99,7.14,0.61,6.56,0.39,552.95,59.78,0.883,0.008
女神,goddess,7.5,1.86,7.06,1.91,6.08,1.69,6.19,0.59,6.07,1.14,6.14,1.58,533.6,38.52,0.93,0.013
女子,female,6.64,0.92,4.42,0.67,7.42,1.93,7.69,0.57,7.07,2.12,7.26,0.29,631.26,53.41,0.917,0.028
呕吐,puke,3.02,1.76,6.17,1.55,4.85,0.28,4.56,1.06,6.15,1.69,5.26,0.76,542.6,58.86,0.897,0.067
排斥,repel,4.89,1.38,5.78,0.82,5.29,0.84,4.29,1.71,7.14,0.88,6.04,1.86,576.83,39.22,0.87,0.061
牌坊,honorific arch,6.68,2.11,6.95,0.58,7.23,0.37,6.77,1.55,7.55,1.66,6.57,0.55,507.52,46,0.915,0.045
盼望,expectation,6.18,0.76,5.23,1.48,5.95,0.85,4.95,0.99,6.76,2.13,5.82,0.83,619.58,44.26,0.872,0.028
叛徒,traitor,4.32,1.79,3.43,0.86,4.64,0.33,3.56,1.6,5.19,1.85,5.23,0.77,482.74,58.85,0.932,0.015
彷徨,ramble,1.41,1.24,7.5,1.84,5.14,1.18,4.18,1.39,6.89,1.91,5.87,1.94,529.73,63.9,0.95,0.055
咆哮,roar,4.53,0.73,4.6,1.01,6.3,1.46,5.43,0.68,6.9,1.53,6.41,1.35,545.4,29.32,0.918,0.071
跑车,race car,6.57,2.14,6.26,1.82,6.26,0.78,5.4,0.59,6.65,0.79,5.97,1.55,618.77,22.13,0.907,0.029
泡沫,bubble,5.03,0.71,4.54,1.73,4,1.57,3.77,1.39,3.79,1.53,4.13,1.09,516.06,63.14,0.918,0.055
炮灰,canon ash,2.9,0.78,4.78,0.82,4.51,1.44,4.37,0.85,5.88,1.48,5.57,0.93,482.03,35.09,0.95,0.068
陪葬,buried togetehr,1.44,2.15,7.64,1.78,3.28,1.49,2.19,1.44,5.79,0.37,4.81,1.69,576.66,44.45,0.935,0.032
培育,cultivate,4.47,0.61,3.92,1.2,2.33,1.03,4.39,1.35,3.98,0.79,4.09,1.77,531.95,37.28,0.911,0.014
喷泉,fountain,4.19,0.69,4.5,2.04,3.94,1.39,6.22,2,5,0.84,5.21,0.3,582.02,26.68,0.937,0.039
烹饪,cook,6.64,2.24,4.94,0.65,7.14,1.52,6.31,1.04,6.56,2,6.58,0.89,559.92,24.05,0.902,0.013
疲劳,tiredness,2.54,0.97,7.79,1.95,3.96,1.39,3.64,0.67,3.7,1.73,4.66,0.39,578.01,53.27,0.92,0.047
偏见,discriminatiobn,2.2,1.11,6.24,2,4.66,1.77,4.8,0.76,5.35,2.09,5.52,1.04,549.01,30.32,0.937,0.069
片刻,moment,4.34,0.93,4.46,1.69,6.32,1.12,5.26,1.38,6.43,0.58,5.62,0.52,627.4,38.65,0.94,0.013
骗局,fraud,5.46,0.79,3.92,0.93,6.14,1.16,5.91,1.8,5.29,0.85,5.92,0.26,560.29,57.96,0.906,0.019
骗子,lier,1.57,2.35,6.6,0.6,6.13,1.77,3.57,0.67,6.59,2.21,5.51,0.36,626.81,60.3,0.957,0.027
漂亮,pretty,7.4,1.83,6.8,0.44,7.57,1.9,6.6,0.7,5.68,2.18,6.2,0.55,625.64,22.76,0.887,0.07
瓢虫,beatle,7.51,1.34,7.88,1.82,6.27,1.59,4.87,1.68,5.43,1.4,5.29,0.52,553.11,44.05,0.954,0.02
贫贱,poor and cheap,5.39,2.2,5.75,0.75,5.18,0.88,5.68,0.63,6.34,2.01,5.77,1.04,505.57,36.54,0.94,0.038
贫民,poor people,3.84,1,4.82,1.43,5.64,0.91,3.32,1.63,5.66,2.15,5.31,1.43,557.18,25.64,0.905,0.016
品味,taste,5.41,0.8,5.14,1.67,4.09,1.08,5.23,1.08,4.16,1.7,4.73,0.26,547.32,40.12,0.886,0.055
聘礼,dowry,4.23,1.48,3.68,1.28,4.55,0.51,5.32,1.1,2.97,1.19,4.05,1.02,516.38,39.19,0.926,0.063
平凡,common,4.29,0.79,5.5,1.91,3.46,0.24,4.07,1.88,2.8,0.58,3.97,0.73,553.68,42.39,0.875,0.02
平房,flat-top house,5.25,2.24,5.29,1.16,5.32,1.34,4.8,1.62,5.28,2.19,4.58,0.85,506.5,43.67,0.944,0.07
平静,peaceful,4.61,1.25,3.32,1.97,6.54,1.12,6.46,1.58,6.92,2.18,5.97,1.06,545.46,38.05,0.889,0.02
平稳,balanced,4.86,2.05,5.45,1.99,5.2,1.27,6.06,0.87,5.59,0.91,5.68,0.49,563.56,37.29,0.889,0.07
平息,calm down,2.76,1.75,5.9,1.74,6.1,1.18,6.07,0.99,7.51,1.88,6.91,1.11,541.24,51.77,0.898,0.061
平庸,common,3.56,0.96,6.31,1.86,5.02,1.17,4.63,1.83,6.48,1.65,5.54,1.35,530.31,38.54,0.952,0.052
平原,plain,6.22,0.72,6.15,1.32,6.59,1.29,6.46,1.59,7.46,1.18,6.51,1.1,522.85,56.5,0.891,0.057
苹果,apple,4.47,0.96,4.73,0.68,5.37,1.33,6.53,0.68,6.07,0.35,5.49,0.29,579.39,44.88,0.934,0.047
泼妇,rude woman,6.68,2,4.82,0.84,5.73,1.52,5.86,1.05,5.55,0.78,5.84,1.87,530,27.15,0.907,0.037
破坏,detroy,2.46,1.57,6.04,1.34,4.39,1.57,4.61,0.79,5.04,1.76,5.36,2.01,509.93,59.69,0.906,0.04
瀑布,waterfall,3.39,1.84,5.88,1.62,5.18,1.23,5.57,1.14,6.03,1.27,7.01,0.66,582.13,45.99,0.954,0.021
七夕,double seventh day,2.25,0.35,6.89,1.11,5.56,1.27,6.33,0.81,6.65,1.17,6.6,0.54,507.88,36.15,0.883,0.07
妻子,wife,5.73,1.58,6.43,0.54,7,1.39,6.03,1.77,6.45,1.34,6.59,1.37,555.64,52.18,0.875,0.061
期待,expect,2.59,0.97,6.12,0.97,4.8,1.12,6.43,0.82,3.61,0.45,5.17,1.43,501.68,22.7,0.898,0.053
奇迹,miracle,6.27,0.5,6.27,0.84,7.07,1.19,7.87,1.56,7.39,1.41,6.7,0.6,530.54,24.43,0.903,0.016
旗袍,cheongsam,6.32,2.32,4.02,0.72,6.39,0.98,6.05,0.58,7.38,1.87,6.35,0.99,583.39,57.41,0.932,0.069
乞丐,beggar,2,0.62,6.83,1.32,3.67,0.78,4.23,0.67,5.59,0.77,5.13,1.45,493.54,23.82,0.925,0.047
气愤,rage,1.8,0.94,7.6,0.8,3.13,1.92,3.67,0.63,3.71,1.89,4.68,0.57,556.78,37.31,0.945,0.031
弃儿,abandoned kid,2.17,1.63,5.6,1.79,2.97,1.78,4.37,0.74,4.45,1.22,4.88,1.89,552.24,28.24,0.908,0.053
汽车,mobile car,6.5,1.37,4.07,1.01,6.47,0.41,6.57,0.88,8.12,1.48,7.25,0.99,522.8,51.73,0.949,0.056
牵扯,involve,2.89,1.22,4.79,1.53,3.89,0.51,4.11,1.92,3.79,1.2,4.73,0.8,573.99,49.65,0.935,0.036
牵挂,dwell,5.55,0.94,4.64,0.71,6.05,1.55,5.18,0.95,6.71,1.06,6.61,0.85,510.66,37.1,0.942,0.008
牵连,involve,7.77,2.05,6.12,1.08,4.3,1.34,3.7,2.08,5.88,1.36,5.71,0.54,491.62,53.86,0.952,0.045
牵手,hold hands,7.36,0.53,6.58,1.95,7.44,0.94,7.61,1.52,7.35,0.46,6.81,1.72,573,56.87,0.885,0.05
铅笔,pencil,5.32,1.57,6.45,1.85,5.27,0.63,5.4,0.79,5.13,1.73,4.9,1.83,559.38,25.71,0.9,0.013
谦恭,humble,6,1.5,5.94,1.78,5.11,1.39,6.03,1.95,5.84,1.61,5.98,0.58,575.43,50.52,0.941,0.019
谦和,modest,4.36,2.19,3.04,2.03,3.32,1.08,5.5,0.62,3.76,0.6,4.26,0.88,480.55,40.22,0.889,0.034
谦让,make concessions,5.73,0.9,4.37,1.9,2.97,1.72,6.6,1.52,5.09,1.67,5.72,0.55,586.76,43.47,0.952,0.029
前景,prospect,5.09,0.49,5.32,0.84,4.91,1.1,4.91,0.73,3.79,1.4,4.66,1.1,509.45,35.91,0.907,0.021
前途,future,2,1.52,6.6,1.02,3.97,1.42,6.2,1.34,4.41,1.81,5.78,0.37,550.56,60.63,0.932,0.055
枪毙,kill by gun,6.64,0.34,6.11,1.72,5.68,1.73,2.73,1.46,4.97,1.31,5.26,0.66,544.54,48.03,0.874,0.03
枪杀,gun down,4.2,1.45,3.94,2.03,4.94,1.53,4.6,0.7,5.05,1.58,5.78,0.95,587.65,60.2,0.929,0.028
枪手,sit-in,4.61,1.05,5.21,1.59,4.86,1.62,3.64,1.11,5.21,1.05,4.72,1.04,586.79,46.22,0.894,0.038
枪战,gunfire,4.94,2.16,5.03,1.04,4.14,0.74,2.93,0.91,3.69,1.24,4.47,0.98,542.58,31.32,0.927,0.017
抢劫,rob,7.21,1.3,6.11,1.69,4.39,0.29,4.47,1.99,4.56,1.02,4.51,0.62,513,60.36,0.88,0.062
峭壁,cliff,5.18,2.17,4.25,1.31,5.5,1.07,2.77,1.66,5.26,1.83,5.32,0.63,512.77,30.78,0.912,0.027
侵犯,infringe,5.5,2.15,6.22,1.82,4.83,1.97,4.39,1.43,5.72,0.64,5.53,1.62,583.82,32.09,0.904,0.038
亲密,close,6.25,1.07,5.75,1.8,5.11,1.71,5.89,0.64,4.93,0.5,5.74,0.53,591.45,60.32,0.907,0.038
亲热,making out,5.76,0.84,3.46,1.39,5.66,0.57,5.85,1.58,4.98,1.21,5.2,1.7,594.63,43.24,0.898,0.031
亲人,relatives,7.93,0.83,5.23,1.98,7.13,0.98,7.53,0.97,6.78,1.49,7,1.9,623.01,24.14,0.879,0.024
亲吻,kiss,6.33,2.19,7.58,1.57,3.47,0.27,5.14,1.75,4.67,0.72,5,1.47,552.75,52.77,0.916,0.051
亲友,relatives,7.14,1.54,6.59,1.49,4.14,0.64,6.32,2.09,3.63,1.56,4.58,1.09,557.87,59.95,0.884,0.009
寝室,bedroom,5.8,2.21,3.49,1.4,6.78,0.97,7.07,1.01,8.06,1.05,7.58,0.29,555.1,35.75,0.958,0.026
轻快,light and fast,2.59,1.58,7.41,1.21,5.64,0.51,6.19,0.95,4.95,1.46,4.91,0.79,520.4,38.51,0.939,0.061
轻巧,compact,2.39,1.9,6.28,1.14,6.33,1.38,5.8,1,6.93,1.6,6.03,1.41,573.15,53.79,0.895,0.05
轻视,belittle,1.95,1.9,7.37,1.17,4.1,1.44,4.85,0.64,4.42,1.46,4.55,1.97,511.61,62.33,0.942,0.011
轻松,easily,6.27,2.26,6.1,1.87,6.73,1.53,6.68,1.35,4.89,1.57,4.92,0.37,516.01,53.3,0.945,0.019
轻易,easily,5.09,1.42,5,1.31,5.23,1.2,3.95,0.79,5.89,1.06,5.71,0.41,573,62.49,0.895,0.014
倾听,listen attentively,6.07,1.87,5.61,1.29,6.73,1.91,6.63,0.74,6.86,1.41,6.05,0.56,548.15,28.03,0.888,0.057
清单,list,4.59,0.39,4.61,1.87,5.95,0.65,5.27,2.06,5.98,1.3,5.23,0.96,578.61,61.15,0.937,0.033
清新,fresh,1.96,1.28,8.11,1.05,4,0.65,5.75,1.73,2.91,1.23,4.9,1.4,561.59,57.92,0.955,0.054
蜻蜓,dragonfly,3,0.45,4.97,1.56,5.6,1.88,4.92,1.04,6.08,1.07,6.03,1,532.92,40.97,0.924,0.067
情妇,mistress,6.4,1.36,6.2,2.07,6.63,0.47,5.53,0.71,7.42,1.7,5.77,0.52,548.56,24.88,0.925,0.047
情景,situation,4.18,1.93,3.32,1.28,5.23,0.57,4.94,1.46,5.59,1.74,5.89,1.45,512.47,24.2,0.931,0.062
情侣,lovers,7.33,0.59,6.67,2.1,7.17,1.82,6.97,2.03,7.33,1.66,6.81,0.8,620.68,34.72,0.876,0.036
情杀,kill in the name of love,5.05,1.96,4.98,2.05,5.51,1.28,5.03,1.34,5.51,1.56,5.86,1.6,541.82,31.96,0.955,0.049
情调,atmosphere,2.59,0.87,6.32,0.81,5.27,1.13,4.73,2.08,3.97,2.05,4.39,0.45,571.18,40.53,0.888,0.011
情绪,feelings,4.74,1.66,5,1.27,6.8,1.52,5.6,1.02,6.94,1.79,6.41,1.38,531.66,58.34,0.883,0.059
请柬,invitation letter,1.64,0.74,7.45,2,4.27,1.44,5.23,0.77,3.71,2.18,4.39,1.95,563.58,41.88,0.939,0.031
穷酸,poor and cheap,2.99,0.99,5.57,1.16,4.7,0.62,3.37,1.74,6,0.47,5.25,1.22,589.5,46.7,0.882,0.019
囚车,prisoner van,7.1,1.92,5.57,1.35,4.8,0.32,5.22,1.02,5.2,0.88,5.14,1.32,529.28,59.67,0.909,0.046
囚犯,inmate,6.73,0.44,6.05,1.13,3.27,1.2,4.03,0.83,4.59,1.47,4.55,0.92,498.37,35.1,0.882,0.05
囚禁,prison,3.5,1.14,7.17,1.3,5.33,0.85,6.08,0.79,6.6,0.47,6.37,0.51,587.63,38.71,0.893,0.038
囚徒,locked up people,3.08,0.89,5.3,1.4,3.4,1.98,2.47,1.49,5.33,0.55,4.94,0.85,570.14,28.26,0.92,0.014
囚衣,inmate suit,2.51,2.29,6.9,0.52,4.56,1.31,5.64,1.59,5.72,1.48,5.79,0.9,475.69,57.84,0.873,0.032
求婚,propose,7.43,1.33,6.53,0.49,7.37,0.36,7.2,1.95,7.59,1.11,6.84,1.64,608.55,41.88,0.875,0.058
求学,pursue studies,6.69,1.57,5.17,0.43,6.44,1.09,5.22,1.45,7.49,1.14,6.51,1.08,551.77,33.91,0.943,0.029
求知,seeking knowledge,4.96,0.69,5.46,1.48,3.71,0.53,5.54,0.69,4.09,1.03,4.99,0.93,479.53,50.87,0.89,0.013
球场,court for ball game,7.47,1.96,6.33,1.63,4.33,1.52,6.69,1.63,4.98,1.01,5.58,0.65,478.27,25.02,0.925,0.059
躯体,body,5.97,2.15,5.27,1.95,6.23,1.15,4.37,1.07,6.81,2.19,6.41,0.29,543.55,49.83,0.954,0.06
趋势,trend,4.5,1.26,3.82,0.44,3.95,0.47,5.5,0.69,2.84,0.69,3.39,1.49,584.22,46.88,0.92,0.024
娶亲,marry,5.56,0.89,5.86,1.91,6.61,1.54,6.12,1.52,7.35,1.99,6.86,1.24,586.45,23.86,0.953,0.056
去年,last year,7.06,0.77,6.63,0.49,5.43,1.24,5.04,0.66,6.3,1.25,5.83,1.57,566.62,61.01,0.947,0.034
去世,pass away,3.82,0.36,4.59,1.61,5.5,1.98,3.47,1.38,6.2,1.28,6.01,1.03,531.46,47.98,0.918,0.059
去向,future directions,4.97,0.99,2.66,1,3.77,0.26,5,1.47,3.64,1.24,4.92,1.48,587.15,59.3,0.953,0.039
圈套,trap,7.89,1.9,5.53,0.9,5.64,0.72,3.21,2.05,7.3,0.65,6.39,1,556.05,46.37,0.876,0.038
权力,power,4.51,2.19,5.29,1.01,5.15,1.81,5.31,1.3,5.78,0.8,5.59,2,568.61,40.5,0.954,0.011
全球,worldwide,4.59,1.6,3.77,1.87,6.09,0.29,5.09,1.35,6.68,1.18,5.89,1.49,606.39,58.04,0.913,0.044
蜷缩,curl up,3.29,1.05,5.86,1.95,6.4,1.03,6.77,0.86,6.81,1,6.76,0.39,600.64,37.97,0.873,0.024
雀斑,freckle,7.4,1.78,4.87,1.95,3.97,0.41,3.78,2.05,5.26,0.42,5.56,0.79,526.37,42.39,0.945,0.054
热爱,love,2.41,0.75,5.23,1.7,4.82,0.97,5.5,1.57,5.94,0.7,6.19,0.67,491.48,63.3,0.957,0.035
热泪,passionate cry,4.98,0.54,5.8,1.7,6.27,1.36,5.39,1.58,6.95,0.63,6.06,2.01,575.42,27.49,0.898,0.048
热恋,passionate love,1.32,0.96,6.05,1.35,5.64,0.45,6.11,1.04,5.35,0.5,5.44,0.46,534.42,46.15,0.921,0.069
热切,eager,6.55,1.62,6.36,1.43,4.82,1.66,5.23,1.1,3.82,0.52,4.87,1.9,520.03,56.43,0.952,0.058
热情,passionate,4.64,0.37,4.11,1.54,4.25,0.36,4.86,1.29,5.26,1.29,5.93,1.2,544.14,55.89,0.948,0.052
热心,warm hearted,6,0.98,4.23,0.75,6.59,0.75,6.93,1.01,7.2,0.37,7.12,1.71,578.67,53.29,0.908,0.071
人才,talents,6.2,2.17,5.2,0.92,5.51,1.4,5.78,0.99,5.77,0.47,5.25,1.9,589.98,25.53,0.941,0.052
人格,personality,5.91,0.49,4.25,0.72,4.15,1.02,5.4,1.98,4.43,1.39,4.49,0.49,568.91,62.21,0.947,0.052
人类,human,4.63,0.76,5.07,1.43,3.1,1.79,5.77,1.72,3.61,1.38,5.06,1.78,521.85,34.9,0.877,0.065
人情,human connection,2.74,1.65,6.54,1.71,5.03,0.82,5.05,1.31,6.44,1.32,5.75,1.15,525.36,50.91,0.937,0.045
人生,life,5.2,0.64,4.83,0.6,6.67,1.49,5.57,0.91,8.04,0.58,6.7,0.75,591.23,56.18,0.887,0.023
人质,hostage,2.64,0.99,5.72,1.66,5.31,1.08,5.67,2.07,5.53,1.06,5.72,1.21,555.64,57.91,0.92,0.061
仁爱,benevolence,7.53,1.61,5.93,1.25,6.67,0.32,6.63,1.3,6.87,2.17,6.55,1.3,592.75,45.19,0.872,0.043
仁慈,benevolent,6.29,0.42,5.71,0.67,6.61,1.44,6.5,1.78,7.77,0.45,7.01,1.55,607.01,30.46,0.903,0.011
任务,mission,4.38,1.69,4.29,1.77,4.19,1.72,4.76,1.31,4.76,1.6,5.47,0.27,565.48,32.75,0.912,0.034
日常,daily life,2.63,1.09,5.9,1.31,4.29,1.73,5.03,0.72,4.62,0.6,4.76,1.65,541.91,50.2,0.934,0.033
日历,calender,5.29,1.05,3.54,1.51,4.57,1.88,6.28,1.45,5,1.41,5.36,1.09,547.41,34.12,0.921,0.062
日期,date,4.18,1.22,3.55,0.98,5.55,1.85,5.18,1.58,6.11,1.17,5.26,1.55,626.39,57.04,0.911,0.047
荣幸,honor,2.38,1.59,7.18,1.59,5.68,1.37,5.18,1.51,6.76,0.77,6.31,0.3,632.52,49.12,0.885,0.052
容貌,appearance,6.15,1.61,5.27,1.56,5.83,1.61,5.51,1.47,6.02,1.92,5.71,0.79,508.07,24.56,0.893,0.062
容易,easy,6,1.94,6,1.61,6.81,0.49,5.83,1.46,6.74,0.44,6.12,1.19,529.38,28.82,0.953,0.011
榕树,banyan tree,5.41,1.32,5.95,1.15,6.55,1.12,6.5,1.5,4.66,1.45,4.79,1.27,542.76,24.2,0.879,0.04
融合,combine,4.95,1.6,3.68,1.21,6.85,0.79,7.59,1.21,8.31,1.02,6.97,0.6,548.03,56.37,0.92,0.063
冗长,wordy,3.93,0.42,4.76,0.61,6.02,0.42,6.44,1.49,6.51,0.71,5.97,0.48,569.9,60.09,0.878,0.007
柔情,tenderness,6.54,1.39,5.27,1.86,6.34,1.6,6.02,0.69,7.31,2.05,6.52,1.14,609.69,51.19,0.896,0.042
柔软,soft,7.47,0.47,6.53,1.47,4.94,1.27,4.31,0.76,5.7,1.61,5.65,0.97,554.44,37.38,0.95,0.011
柔弱,weak and tender,1.5,2.3,6.25,0.94,4.14,1.65,4,0.78,3.95,0.62,4.61,0.46,540.46,56.39,0.893,0.02
肉搏,fist fight,6.61,2.25,6.18,2.1,4.46,1.51,3.32,1.71,5.69,0.61,6.31,0.37,465.77,36.58,0.897,0.05
睿智,wise,2.71,0.39,6.89,1.09,4.46,0.55,5.29,1.32,4,1.44,5.24,1.43,498.12,24.51,0.904,0.057
撒谎,lie,5.07,2.3,4.9,1.56,3.95,1.89,4.09,0.76,3.18,1,3.61,0.48,567.16,55.41,0.892,0.036
丧服,memorial suit for the dead,1.67,0.48,7.33,1.98,4.25,0.93,4.78,0.59,4.67,1.84,4.81,1.5,522.73,34.13,0.902,0.058
丧礼,funeral,1.93,0.87,8.32,0.97,5.89,1.27,6.39,1.39,7.43,0.35,6.53,0.59,623.92,30.82,0.913,0.063
丧失,lose,6.73,1.49,6.23,1.59,6.5,0.54,5.17,0.9,6.28,0.61,5.67,1.98,586.49,38.29,0.937,0.019
丧亡,pass away,1.22,2.13,7.36,0.72,4.42,1.69,4.31,0.81,5.51,0.81,5.28,0.63,497.93,52.62,0.932,0.029
扫兴,bummer,2.2,2.31,5.36,1.29,4.73,1.03,4.5,1.66,5.53,1.21,5,0.63,552.91,24.08,0.915,0.051
色斑,color spot,3.64,0.59,5.89,1.96,3.83,1.74,4.97,1.82,5.05,1.68,4.79,0.44,474.49,37.9,0.902,0.016
色情,porn,3.14,0.61,7.71,1.49,4.79,0.87,4.36,1.47,4.16,1.6,5.16,0.89,573.22,29.76,0.94,0.032
杀戮,killing,2.61,0.98,5.54,1.21,4.73,1.64,5.41,1.3,6.03,0.83,6.09,0.82,507.81,50.93,0.95,0.024
沙尘,sand,4.66,0.84,4.61,1.83,5.15,1.3,5.34,1.87,5.82,1.83,5.52,2.02,513.51,38.18,0.928,0.065
沙漠,desert,2.3,2.1,7.4,1.31,6.3,0.53,4.43,1.7,6.86,1.51,6.2,1.08,516.9,29.31,0.943,0.061
傻瓜,fool,3.22,1.52,3.68,1,5.32,1,5.51,1.88,6.51,0.46,5.66,1.6,506.35,61.61,0.889,0.037
傻子,fool,3,0.82,2.7,1.2,5.57,0.71,4.9,1.11,6.97,0.41,5.8,0.41,512.13,52.19,0.933,0.038
山崩,landslide,4.82,1.3,3.71,1.87,3.82,1.17,3.68,0.88,4.97,2.05,4.47,1.85,519.3,24.25,0.948,0.065
山峰,mountain,1.94,2.04,8.58,1.53,4.39,1.83,5.25,0.82,4.47,0.54,5.11,1.73,524.17,61.76,0.915,0.042
善良,kind,7.83,2.1,5.53,1.25,5.3,1.09,6.77,1.35,5.46,2.03,6.03,2.01,504.23,28.55,0.888,0.019
伤疤,scar,6.67,0.81,5.14,0.78,4.56,1.28,4.66,1.86,6.2,0.89,5.26,1.23,560.85,27,0.946,0.016
伤痕,scar,2.51,0.57,6.14,1.31,5.28,0.32,4.4,1.19,5.65,1.61,5.46,0.48,588.01,53.45,0.92,0.039
伤口,scar,5.11,1.47,5.96,1.32,4.82,1.32,2.73,2.04,4.42,2.16,4.47,1.94,559.32,45.34,0.93,0.011
伤势,condition for the injury,5.27,0.52,5.53,0.98,5,1.66,6.2,0.56,5.72,1.41,5.71,1.51,561.83,25.09,0.91,0.007
烧伤,burn,2.63,2.09,7.03,0.78,4.83,1.62,5.5,1.53,4.79,1.9,5.23,1.27,548.33,24.85,0.911,0.052
稍微,a bit,2.54,1.38,5.44,2,5.37,1.03,3.97,0.9,6.1,2.2,5.25,1.99,502.91,26.13,0.882,0.024
少女,young lady,6.57,0.51,5.37,0.55,6.93,0.6,6.8,1.92,6.64,0.64,6.17,0.44,559.67,22.4,0.931,0.031
申请,apply,5.79,0.64,3.18,0.52,6.75,1.34,6.82,1.88,7.1,0.61,6.18,0.77,594.73,24.92,0.907,0.052
身份,identity,6.42,1.13,5.51,1.1,5.36,0.4,4.09,1.99,6.32,1.46,5.16,1.73,565.96,47.59,0.921,0.066
身世,personal history,4.72,1.57,4.66,0.54,5.85,0.84,4.74,1.98,6.52,1.26,5.87,0.88,603.38,49.67,0.87,0.051
呻吟,moan,3.14,1.1,4.89,0.97,5.64,1.7,3.21,1.86,6.86,0.93,6.17,1.57,549.18,31.67,0.938,0.055
绅士,gentalmen,2.86,2.32,3.93,1.45,4.89,0.89,6.79,1.44,5.27,1.22,5.51,1.26,501.61,48.84,0.94,0.037
深沉,thoughtful,5.64,0.99,5.64,1.76,4.54,1.4,5.23,1.48,3.76,1.27,4.49,1.89,564.33,22.95,0.935,0.011
深度,depth,6.51,0.78,4.97,0.68,6.57,1.12,5.18,0.89,7.47,1.16,6.47,0.42,603.89,25.68,0.899,0.036
深情,deep love,6.29,2.1,6.24,2.05,5.49,0.8,6.1,2.09,5.03,2.2,5.26,0.68,575.04,42.28,0.898,0.037
